sample_id,brand,quantity,pack_count,unit_quantity,category,price
33127,5092,72.0,6,12.0,21,4.890000000000001
198967,7945,32.0,4,8.0,17,13.12
261251,1018,11.4,6,1.9000000000000001,20,1.97
55858,4611,11.25,1,11.25,15,30.34
292686,10006,12.0,1,12.0,27,66.49
9259,5809,6.25,1,6.25,2,18.5
191846,3768,180.0,6,30.0,2,5.99
222007,9408,1.0,1,1.0,2,94.0
37614,6127,192.0,1,192.0,5,35.74
238044,6042,9.0,4,2.25,13,31.8
254947,1344,12.0,1,12.0,14,15.99
283223,376,160.0,2,80.0,11,33.5
21740,4837,4.0,1,4.0,23,6.98
170292,8302,192.0,12,16.0,16,4.255
71500,780,336.0,12,28.0,17,1.67
266475,6588,102.0,1,102.0,17,81.44
88520,4154,10.0,6,1.6666666666666667,17,56.72
125583,842,192.0,12,16.0,0,5.47
271423,1439,176.37,5,35.274,17,109.97
260842,8025,90.0,3,30.0,25,50.99
267410,3314,400.0,1,400.0,16,98.99
201749,230,20.0,1,20.0,20,32.09
194856,6707,1.0,1,1.0,23,12.32
81813,239,14.7,1,14.7,17,4.12
234305,568,240.0,12,20.0,2,16.395
154376,9084,14.0,1,14.0,17,17.095
202016,3367,4.5,1,4.5,11,15.5
116291,4896,28.2,1,28.2,12,20.61
234372,5092,19.75,1,19.75,17,1.58
116974,2169,3.38,1,3.38,2,19.845
178219,5731,0.64,1,0.64,17,13.49
248217,5659,7.0,1,7.0,17,12.78
22148,2500,80.0,1,80.0,17,64.99
7575,2257,4.0,4,1.0,17,30.78
100323,8331,21.0,1,21.0,17,23.99
109029,1710,32.0,2,16.0,23,12.85
38571,588,12.0,6,2.0,17,9.27
56340,4313,124.0,8,15.5,17,29.96
196576,1422,12.0,1,12.0,25,124.52
274881,8487,32.0,2,16.0,8,16.99
166681,1864,20.0,1,20.0,25,5.49
95469,2177,36.0,3,12.0,8,12.23
255445,2672,12.0,1,12.0,8,6.99
259866,4726,1.0,1,1.0,17,58.13
59900,4567,20.0,1,20.0,15,11.98
61692,7006,28.0,1,28.0,17,29.94
56211,8215,42.0,6,7.0,19,7.56
140715,2973,10.5,1,10.5,15,34.57
186165,8082,,1,,17,2.54
272258,9830,48.0,1,48.0,17,4.42
191961,1797,12.5,1,12.5,17,0.94
245797,8760,5.5,1,5.5,7,6.69
278964,1774,48.0,1,48.0,17,30.475
133751,3509,16.0,1,16.0,15,34.925
188740,2337,50.0,50,1.0,25,2.99
216435,1108,16.0,1,16.0,17,20.79
147811,9873,150.0,1,150.0,15,57.7
48188,3985,35.3,1,35.3,17,24.99
260170,3314,32.0,1,32.0,15,17.634999999999998
24701,5158,8.0,1,8.0,8,10.49
65474,7991,64.0,1,64.0,17,63.99
151954,1269,8.82,1,8.82,12,11.46
25549,9299,276.0,24,11.5,2,12.795000000000002
210101,1435,16.92,1,16.92,23,29.99
22348,7498,11.0,1,11.0,25,17.49
69365,294,4.4,1,4.4,20,79.99
43008,2164,38.0,1,38.0,16,11.1
182264,4768,9.0,1,9.0,17,7.99
117130,9453,46.53,1,46.53,17,26.13
236193,5614,51.0,6,8.5,16,42.495
202733,128,5.0,1,5.0,20,29.99
35395,1720,84.0,8,10.5,17,1.755
66928,5758,4.0,4,1.0,15,24.01
201717,9835,3.49,1,3.49,17,19.725
239169,3314,16.0,1,16.0,7,15.74
191671,670,12.6803,1,12.6803,17,16.99
240701,4882,304.2,9,33.8,17,33.56
172422,2245,32.0,1,32.0,16,16.99
166878,620,50.76,12,4.2299999999999995,16,4.99
31920,3926,8.0,1,8.0,15,14.61
247546,5258,32.0,1,32.0,17,17.99
7411,3026,6.0,6,1.0,17,2.6
218503,9603,,1,,16,7.465
86106,7673,110.0,1,110.0,17,32.49
115306,144,1.0,1,1.0,16,14.99
182492,9533,12.0,1,12.0,17,4.890000000000001
202254,9070,1.0,1,1.0,17,298.0
164888,10036,12.0,1,12.0,16,7.99
7984,8674,4.0,1,4.0,17,1.24
3294,5638,24.0,24,1.0,17,213.26
181347,910,6.0,1,6.0,16,11.135
159362,4882,47.97,1,47.97,8,33.29
273689,2219,12.0,1,12.0,17,21.36
51564,8895,16.8,1,16.8,23,45.27
81259,1961,120.0,1,120.0,20,5.49
131791,4475,0.9,1,0.9,23,2.29
228657,466,2.0,1,2.0,9,30.37
21269,1177,12.0,1,12.0,8,19.19
17024,7835,80.0,1,80.0,23,4.79
286405,3398,16.0,1,16.0,25,44.74
14079,450,1.4,1,1.4,17,2.19
129107,249,1.0,4,0.25,17,10.985
224077,7997,72.0,1,72.0,17,5.98
125263,1232,56.0,4,14.0,17,15.6
275308,3398,2.33,1,2.33,20,4.19
189369,9888,16.0,2,8.0,17,15.955
62153,7429,32.0,1,32.0,20,35.49
148336,8421,1.0,1,1.0,25,86.99
39817,8335,192.0,6,32.0,15,12.185
296273,2088,2.0,1,2.0,24,6.19
3762,2004,2.0,1,2.0,15,10.48
283764,2185,8.8,1,8.8,9,93.89
167015,5690,101.4,3,33.800000000000004,2,3.82
167146,9423,138.0,1,138.0,16,17.28
88555,376,8.0,1,8.0,23,26.47
75673,9887,6.3,1,6.3,20,2.005
133577,3811,60.0,1,60.0,17,16.95
208446,6184,8.0,1,8.0,23,10.97
116477,9762,9.0,1,9.0,7,70.52
124069,3397,16.0,8,2.0,17,14.92
274873,5298,1.0,1,1.0,2,6.67
156028,3310,18.0,1,18.0,17,13.28
126465,9064,1.0,1,1.0,15,21.72
188613,4334,384.0,12,32.0,9,23.625
117358,4691,10.29,1,10.29,23,10.94
137859,7934,3.0,3,1.0,17,5.39
76461,9227,64.0,1,64.0,23,10.13
144305,5627,150.0,1,150.0,15,56.01
108235,8659,5.25,3,1.75,17,15.935
203467,6196,50.0,1,50.0,23,10.99
114665,6852,9.87,1,9.87,20,8.57
255165,2771,1.0,1,1.0,17,49.29
46363,7607,64.0,1,64.0,17,10.99
248456,4962,6.0,1,6.0,15,2.99
273526,9446,288.0,12,24.0,23,4.79
30664,1432,16.0,1,16.0,23,39.99
60806,495,32.0,1,32.0,9,61.99
67927,5285,1.0,1,1.0,13,44.0
155886,1107,16.25,1,16.25,17,1.89
264011,2337,20.0,20,1.0,25,62.010000000000005
209694,4231,8.5,2,4.25,17,7.24
150391,4576,10.8,1,10.8,25,18.25
79260,7992,40.0,1,40.0,17,4.79
6306,2927,30.0,1,30.0,17,39.03
142282,7438,100.0,1,100.0,15,38.54
71590,3393,2.5,1,2.5,7,4.69
240535,4151,48.0,3,16.0,15,12.995
146884,944,1.0,1,1.0,0,17.9
230905,9662,12.0,1,12.0,20,14.99
160200,4540,7.5,1,7.5,17,4.32
39416,6127,127.2,1,127.2,5,5.29
169191,1550,60.0,12,5.0,16,5.49
274674,2867,15.0,1,15.0,17,5.345
44612,2497,4.4,1,4.4,17,6.64
65166,8336,1.0,1,1.0,9,14.95
193140,6952,50.0,1,50.0,8,39.99
259502,1220,4.0,4,1.0,20,24.81
74357,1847,7.0,1,7.0,13,14.4
218798,2598,9.0,100,0.09,25,19.99
